id,organization,sector,region,country,annual_consumption_mwh,current_renewable_pct,grid_carbon_intensity_gco2_kwh,esg_pressure,contract_renewal_months,data_quality,lead_score,tier,buying_stage,estimated_annual_opportunity_value,recommended_offering,rationale,esg_pressure_label
SYN-001193,India Steel Works 1193,Steel,India,India,38741777.7,23.8,665.7,0.464,6.5,synthetic,78.08,A,Evaluating,76383288.91,Corporate PPA,"38,741,778 MWh/yr; 76% decarbonization gap; grid 666 gCO2/kWh; evaluating (~6 mo to renewal); ESG pressure medium.",Medium
SYN-001667,India Metalworks 1667,Steel,India,India,22568205.4,13.5,723.9,0.39,6.7,synthetic,78.07,A,Evaluating,48679619.05,Corporate PPA,"22,568,205 MWh/yr; 86% decarbonization gap; grid 724 gCO2/kWh; evaluating (~7 mo to renewal); ESG pressure medium.",Medium
SYN-004403,China Steel Mill 4403,Steel,China,China,31027373.0,7.1,619.6,0.491,12.1,synthetic,77.97,A,Evaluating,70500396.93,Corporate PPA,"31,027,373 MWh/yr; 93% decarbonization gap; grid 620 gCO2/kWh; evaluating (~12 mo to renewal); ESG pressure medium.",Medium
SYN-001621,Europe Aluminium Smelter 1621,Aluminium,Europe,United Kingdom,55310136.4,16.6,262.7,0.854,5.2,synthetic,77.93,A,In Renewal Window,135587268.37,Decarbonization Advisory,"55,310,136 MWh/yr; 83% decarbonization gap; grid 263 gCO2/kWh; in renewal window (~5 mo to renewal); ESG pressure high.",High
SYN-008897,India Hyperscale DC 8897,Data Center / Hyperscaler,India,India,10484882.3,21.7,650.2,0.433,5.6,synthetic,77.84,A,In Renewal Window,49159419.15,Corporate PPA,"10,484,882 MWh/yr; 78% decarbonization gap; grid 650 gCO2/kWh; in renewal window (~6 mo to renewal); ESG pressure medium.",Medium
SYN-008528,East Asia Steel Works 8528,Steel,East Asia (ex-China),Japan,34673949.3,8.3,418.9,0.769,8.5,synthetic,77.82,A,Evaluating,78037190.29,Corporate PPA,"34,673,949 MWh/yr; 92% decarbonization gap; grid 419 gCO2/kWh; evaluating (~8 mo to renewal); ESG pressure high.",High
SYN-009597,India Specialty Chemicals 9597,Chemicals,India,India,13321284.9,14.0,758.8,0.456,7.2,synthetic,77.78,A,Evaluating,38152159.95,Corporate PPA,"13,321,285 MWh/yr; 86% decarbonization gap; grid 759 gCO2/kWh; evaluating (~7 mo to renewal); ESG pressure medium.",Medium
SYN-000176,Middle East Data Hub 0176,Data Center / Hyperscaler,Middle East,United Arab Emirates,23986192.7,35.1,613.4,0.49,9.0,synthetic,77.77,A,Evaluating,98962233.84,Corporate PPA,"23,986,193 MWh/yr; 65% decarbonization gap; grid 613 gCO2/kWh; evaluating (~9 mo to renewal); ESG pressure medium.",Medium
SYN-007981,China Alumina Refinery 7981,Aluminium,China,China,43396748.8,19.4,628.2,0.571,17.0,synthetic,77.67,A,Evaluating,103831061.18,Corporate PPA,"43,396,749 MWh/yr; 81% decarbonization gap; grid 628 gCO2/kWh; evaluating (~17 mo to renewal); ESG pressure medium.",Medium
SYN-007445,East Asia Steel Works 7445,Steel,East Asia (ex-China),South Korea,16998209.3,4.4,467.0,0.759,3.9,synthetic,77.6,A,In Renewal Window,39449444.14,Corporate PPA,"16,998,209 MWh/yr; 96% decarbonization gap; grid 467 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure high.",High
SYN-001823,India Steel Mill 1823,Steel,India,India,23577297.7,11.6,735.7,0.473,13.9,synthetic,77.55,A,Evaluating,51662574.72,Corporate PPA,"23,577,298 MWh/yr; 88% decarbonization gap; grid 736 gCO2/kWh; evaluating (~14 mo to renewal); ESG pressure medium.",Medium
SYN-001958,Europe Light Metals 1958,Aluminium,Europe,Italy,35826743.5,11.6,231.9,0.955,4.3,synthetic,77.53,A,In Renewal Window,91587487.08,Decarbonization Advisory,"35,826,744 MWh/yr; 88% decarbonization gap; grid 232 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure high.",High
SYN-008609,East Asia Semiconductor Works 8609,Semiconductor,East Asia (ex-China),Japan,20920643.6,14.8,442.8,0.755,13.5,synthetic,77.52,A,Evaluating,81833189.51,Corporate PPA,"20,920,644 MWh/yr; 85% decarbonization gap; grid 443 gCO2/kWh; evaluating (~14 mo to renewal); ESG pressure high.",High
SYN-008693,India Light Metals 8693,Aluminium,India,India,23572031.6,11.9,668.7,0.452,12.6,synthetic,77.34,A,Evaluating,60111037.78,Corporate PPA,"23,572,032 MWh/yr; 88% decarbonization gap; grid 669 gCO2/kWh; evaluating (~13 mo to renewal); ESG pressure medium.",Medium
SYN-001417,China Alumina Refinery 1417,Aluminium,China,China,38160901.6,14.6,610.9,0.578,18.4,synthetic,77.31,A,Early / Long Horizon,95150392.05,Corporate PPA,"38,160,902 MWh/yr; 85% decarbonization gap; grid 611 gCO2/kWh; early / long horizon (~18 mo to renewal); ESG pressure medium.",Medium
SYN-007270,India Metalworks 7270,Steel,India,India,15663368.7,16.2,765.7,0.509,7.7,synthetic,77.27,A,Evaluating,33024646.57,Corporate PPA,"15,663,369 MWh/yr; 84% decarbonization gap; grid 766 gCO2/kWh; evaluating (~8 mo to renewal); ESG pressure medium.",Medium
REAL-0022,JSW Steel,Steel,India,India,16000000.0,8.0,700.0,0.45,8.0,public-estimate,77.26,A,Evaluating,36096000.0,Corporate PPA,"16,000,000 MWh/yr; 92% decarbonization gap; grid 700 gCO2/kWh; evaluating (~8 mo to renewal); ESG pressure medium.",Medium
SYN-005735,East Asia Wafer Fab 5735,Semiconductor,East Asia (ex-China),South Korea,24635919.2,33.8,430.7,0.778,4.3,synthetic,77.24,A,In Renewal Window,80919140.2,Corporate PPA,"24,635,919 MWh/yr; 66% decarbonization gap; grid 431 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure high.",High
SYN-009715,India Chemical Park 9715,Chemicals,India,India,17298760.3,27.7,780.9,0.502,5.6,synthetic,77.2,A,In Renewal Window,43855817.11,Corporate PPA,"17,298,760 MWh/yr; 72% decarbonization gap; grid 781 gCO2/kWh; in renewal window (~6 mo to renewal); ESG pressure medium.",Medium
SYN-002743,East Asia Steel Works 2743,Steel,East Asia (ex-China),Japan,26724357.0,6.9,463.1,0.753,10.1,synthetic,77.19,A,Evaluating,60819291.66,Corporate PPA,"26,724,357 MWh/yr; 93% decarbonization gap; grid 463 gCO2/kWh; evaluating (~10 mo to renewal); ESG pressure high.",High
SYN-009534,India Data Hub 9534,Data Center / Hyperscaler,India,India,22969671.7,53.0,743.8,0.521,8.8,synthetic,77.15,A,Evaluating,77499672.32,Corporate PPA,"22,969,672 MWh/yr; 47% decarbonization gap; grid 744 gCO2/kWh; evaluating (~9 mo to renewal); ESG pressure medium.",Medium
SYN-006051,China Metalworks 6051,Steel,China,China,32310389.9,8.5,646.1,0.507,17.2,synthetic,77.06,A,Evaluating,72601446.11,Corporate PPA,"32,310,390 MWh/yr; 92% decarbonization gap; grid 646 gCO2/kWh; evaluating (~17 mo to renewal); ESG pressure medium.",Medium
SYN-002869,India Mineral Resources 2869,Mining & Metals,India,India,15279774.2,18.4,716.5,0.406,6.9,synthetic,77.01,A,Evaluating,47416195.3,Corporate PPA,"15,279,774 MWh/yr; 82% decarbonization gap; grid 716 gCO2/kWh; evaluating (~7 mo to renewal); ESG pressure medium.",Medium
SYN-007752,China Wafer Fab 7752,Semiconductor,China,China,25117694.8,25.1,605.0,0.634,18.9,synthetic,76.94,A,Early / Long Horizon,89712870.52,Corporate PPA,"25,117,695 MWh/yr; 75% decarbonization gap; grid 605 gCO2/kWh; early / long horizon (~19 mo to renewal); ESG pressure medium.",Medium
SYN-008491,China Light Metals 8491,Aluminium,China,China,43394243.0,23.0,541.8,0.503,9.0,synthetic,76.84,A,Evaluating,100544461.03,Corporate PPA,"43,394,243 MWh/yr; 77% decarbonization gap; grid 542 gCO2/kWh; evaluating (~9 mo to renewal); ESG pressure medium.",Medium
REAL-0012,Samsung Electronics (Semiconductor),Semiconductor,East Asia (ex-China),South Korea,22000000.0,20.0,450.0,0.7,12.0,public-estimate,76.77,A,Evaluating,82280000.0,Corporate PPA,"22,000,000 MWh/yr; 80% decarbonization gap; grid 450 gCO2/kWh; evaluating (~12 mo to renewal); ESG pressure high.",High
SYN-004480,India Semiconductor Works 4480,Semiconductor,India,India,10278187.7,13.9,694.4,0.505,15.2,synthetic,76.77,A,Evaluating,40509421.18,Corporate PPA,"10,278,188 MWh/yr; 86% decarbonization gap; grid 694 gCO2/kWh; evaluating (~15 mo to renewal); ESG pressure medium.",Medium
SYN-004914,China Ore Processing 4914,Mining & Metals,China,China,15472562.3,5.5,628.2,0.518,13.9,synthetic,76.76,A,Evaluating,53403548.78,Corporate PPA,"15,472,562 MWh/yr; 94% decarbonization gap; grid 628 gCO2/kWh; evaluating (~14 mo to renewal); ESG pressure medium.",Medium
SYN-001620,China Specialty Chemicals 1620,Chemicals,China,China,9453811.6,6.2,647.0,0.619,8.6,synthetic,76.74,A,Evaluating,28845469.95,Corporate PPA,"9,453,812 MWh/yr; 94% decarbonization gap; grid 647 gCO2/kWh; evaluating (~9 mo to renewal); ESG pressure medium.",Medium
SYN-008163,India Steel Mill 8163,Steel,India,India,11652091.8,9.3,724.3,0.495,7.2,synthetic,76.74,A,Evaluating,26014460.15,Corporate PPA,"11,652,092 MWh/yr; 91% decarbonization gap; grid 724 gCO2/kWh; evaluating (~7 mo to renewal); ESG pressure medium.",Medium
SYN-002966,China Upstream Operations 2966,Oil & Gas,China,China,22480955.5,11.2,619.4,0.598,14.1,synthetic,76.71,A,Evaluating,57659154.67,Corporate PPA,"22,480,956 MWh/yr; 89% decarbonization gap; grid 619 gCO2/kWh; evaluating (~14 mo to renewal); ESG pressure medium.",Medium
SYN-005029,Southeast Asia Steel Works 5029,Steel,Southeast Asia,Thailand,33150726.6,7.9,501.0,0.517,9.2,synthetic,76.71,A,Evaluating,74847710.52,Corporate PPA,"33,150,727 MWh/yr; 92% decarbonization gap; grid 501 gCO2/kWh; evaluating (~9 mo to renewal); ESG pressure medium.",Medium
SYN-004122,East Asia Foundry 4122,Semiconductor,East Asia (ex-China),South Korea,22610918.7,28.9,432.9,0.776,8.3,synthetic,76.64,A,Evaluating,77924009.12,Corporate PPA,"22,610,919 MWh/yr; 71% decarbonization gap; grid 433 gCO2/kWh; evaluating (~8 mo to renewal); ESG pressure high.",High
REAL-0019,POSCO,Steel,East Asia (ex-China),South Korea,28000000.0,7.0,450.0,0.7,10.0,public-estimate,76.6,A,Evaluating,63672000.0,Corporate PPA,"28,000,000 MWh/yr; 93% decarbonization gap; grid 450 gCO2/kWh; evaluating (~10 mo to renewal); ESG pressure high.",High
SYN-002665,China Aluminium Smelter 2665,Aluminium,China,China,50960533.7,33.4,622.2,0.468,10.0,synthetic,76.58,A,Evaluating,106945776.02,Corporate PPA,"50,960,534 MWh/yr; 67% decarbonization gap; grid 622 gCO2/kWh; evaluating (~10 mo to renewal); ESG pressure medium.",Medium
SYN-000288,East Asia Cloud Campus 0288,Data Center / Hyperscaler,East Asia (ex-China),Taiwan,22616276.2,25.6,485.6,0.75,17.9,synthetic,76.56,A,Evaluating,102334126.55,Corporate PPA,"22,616,276 MWh/yr; 74% decarbonization gap; grid 486 gCO2/kWh; evaluating (~18 mo to renewal); ESG pressure high.",High
REAL-0071,PetroChina (Operations),Oil & Gas,China,China,20000000.0,6.0,580.0,0.55,12.0,public-estimate,76.52,A,Evaluating,53480000.0,Corporate PPA,"20,000,000 MWh/yr; 94% decarbonization gap; grid 580 gCO2/kWh; evaluating (~12 mo to renewal); ESG pressure medium.",Medium
SYN-009642,China Wafer Fab 9642,Semiconductor,China,China,16834660.6,14.4,606.1,0.492,16.6,synthetic,76.52,A,Evaluating,66072675.92,Corporate PPA,"16,834,661 MWh/yr; 86% decarbonization gap; grid 606 gCO2/kWh; evaluating (~17 mo to renewal); ESG pressure medium.",Medium
SYN-003505,China Semiconductor Works 3505,Semiconductor,China,China,8537477.9,13.4,638.2,0.639,14.0,synthetic,76.51,A,Evaluating,33789630.03,Corporate PPA,"8,537,478 MWh/yr; 87% decarbonization gap; grid 638 gCO2/kWh; evaluating (~14 mo to renewal); ESG pressure medium.",Medium
SYN-003228,India Chemical Park 3228,Chemicals,India,India,8250135.1,11.5,681.8,0.534,3.6,synthetic,76.46,A,In Renewal Window,24123395.03,Corporate PPA,"8,250,135 MWh/yr; 88% decarbonization gap; grid 682 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
SYN-004892,China Light Metals 4892,Aluminium,China,China,36493442.5,30.8,582.4,0.645,10.0,synthetic,76.46,A,Evaluating,78577680.39,Corporate PPA,"36,493,442 MWh/yr; 69% decarbonization gap; grid 582 gCO2/kWh; evaluating (~10 mo to renewal); ESG pressure medium.",Medium
SYN-006769,China Wafer Fab 6769,Semiconductor,China,China,17532462.8,12.0,565.6,0.524,17.2,synthetic,76.46,A,Evaluating,70199981.05,Corporate PPA,"17,532,463 MWh/yr; 88% decarbonization gap; grid 566 gCO2/kWh; evaluating (~17 mo to renewal); ESG pressure medium.",Medium
SYN-008343,China Steel Works 8343,Steel,China,China,36036677.9,11.0,630.6,0.558,19.8,synthetic,76.46,A,Early / Long Horizon,79352764.74,Corporate PPA,"36,036,678 MWh/yr; 89% decarbonization gap; grid 631 gCO2/kWh; early / long horizon (~20 mo to renewal); ESG pressure medium.",Medium
SYN-007055,India Petrochem Complex 7055,Chemicals,India,India,13090760.7,11.7,657.5,0.498,7.8,synthetic,76.42,A,Evaluating,38214548.64,Corporate PPA,"13,090,761 MWh/yr; 88% decarbonization gap; grid 658 gCO2/kWh; evaluating (~8 mo to renewal); ESG pressure medium.",Medium
SYN-002978,East Asia Specialty Chemicals 2978,Chemicals,East Asia (ex-China),Taiwan,20721566.6,6.2,458.6,0.651,9.5,synthetic,76.41,A,Evaluating,63225644.01,Corporate PPA,"20,721,567 MWh/yr; 94% decarbonization gap; grid 459 gCO2/kWh; evaluating (~10 mo to renewal); ESG pressure medium.",Medium
SYN-003562,China Steel Mill 3562,Steel,China,China,22054820.3,3.5,588.2,0.595,15.6,synthetic,76.41,A,Evaluating,51542115.04,Corporate PPA,"22,054,820 MWh/yr; 96% decarbonization gap; grid 588 gCO2/kWh; evaluating (~16 mo to renewal); ESG pressure medium.",Medium
SYN-002363,East Asia Foundry 2363,Semiconductor,East Asia (ex-China),Japan,19681292.9,18.0,457.8,0.764,15.5,synthetic,76.4,A,Evaluating,74907000.78,Corporate PPA,"19,681,293 MWh/yr; 82% decarbonization gap; grid 458 gCO2/kWh; evaluating (~16 mo to renewal); ESG pressure high.",High
SYN-007122,India Steel Mill 7122,Steel,India,India,32722638.6,23.1,736.7,0.371,12.0,synthetic,76.36,A,Evaluating,64928259.51,Corporate PPA,"32,722,639 MWh/yr; 77% decarbonization gap; grid 737 gCO2/kWh; evaluating (~12 mo to renewal); ESG pressure medium.",Medium
SYN-009499,China Distribution Retail 9499,Retail / E-commerce,China,China,8996838.2,23.4,622.0,0.554,7.1,synthetic,76.34,A,Evaluating,38573044.1,Corporate PPA,"8,996,838 MWh/yr; 77% decarbonization gap; grid 622 gCO2/kWh; evaluating (~7 mo to renewal); ESG pressure medium.",Medium
SYN-003611,India Gas Processing 3611,Oil & Gas,India,India,19745315.8,20.8,683.6,0.389,4.8,synthetic,76.29,A,In Renewal Window,46662130.3,Corporate PPA,"19,745,316 MWh/yr; 79% decarbonization gap; grid 684 gCO2/kWh; in renewal window (~5 mo to renewal); ESG pressure medium.",Medium
SYN-009239,India Alumina Refinery 9239,Aluminium,India,India,45962305.6,24.4,699.8,0.459,20.5,synthetic,76.29,A,Early / Long Horizon,105143370.29,Corporate PPA,"45,962,306 MWh/yr; 76% decarbonization gap; grid 700 gCO2/kWh; early / long horizon (~20 mo to renewal); ESG pressure medium.",Medium
SYN-000670,China Metalworks 0670,Steel,China,China,31557880.7,27.7,635.4,0.534,6.9,synthetic,76.27,A,Evaluating,60004154.36,Corporate PPA,"31,557,881 MWh/yr; 72% decarbonization gap; grid 635 gCO2/kWh; evaluating (~7 mo to renewal); ESG pressure medium.",Medium
SYN-002853,India Ore Processing 2853,Mining & Metals,India,India,15403823.7,21.8,657.2,0.426,3.7,synthetic,76.27,A,In Renewal Window,46387074.69,Corporate PPA,"15,403,824 MWh/yr; 78% decarbonization gap; grid 657 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
SYN-003083,China Semiconductor Works 3083,Semiconductor,China,China,6498956.0,11.1,566.2,0.592,5.5,synthetic,76.26,A,In Renewal Window,26214838.82,Corporate PPA,"6,498,956 MWh/yr; 89% decarbonization gap; grid 566 gCO2/kWh; in renewal window (~6 mo to renewal); ESG pressure medium.",Medium
SYN-004593,India Aluminium Smelter 4593,Aluminium,India,India,42904520.9,34.5,775.8,0.533,18.9,synthetic,76.25,A,Early / Long Horizon,89048333.13,Corporate PPA,"42,904,521 MWh/yr; 66% decarbonization gap; grid 776 gCO2/kWh; early / long horizon (~19 mo to renewal); ESG pressure medium.",Medium
REAL-0018,Nippon Steel,Steel,East Asia (ex-China),Japan,30000000.0,9.0,450.0,0.7,11.0,public-estimate,76.22,A,Evaluating,67140000.0,Corporate PPA,"30,000,000 MWh/yr; 91% decarbonization gap; grid 450 gCO2/kWh; evaluating (~11 mo to renewal); ESG pressure high.",High
SYN-002402,India Refining Complex 2402,Oil & Gas,India,India,14395248.7,6.1,724.0,0.509,16.7,synthetic,76.22,A,Evaluating,38462665.0,Corporate PPA,"14,395,249 MWh/yr; 94% decarbonization gap; grid 724 gCO2/kWh; evaluating (~17 mo to renewal); ESG pressure medium.",Medium
SYN-009233,China Semiconductor Works 9233,Semiconductor,China,China,9021487.7,15.5,540.6,0.624,7.0,synthetic,76.22,A,Evaluating,35080054.92,Corporate PPA,"9,021,488 MWh/yr; 84% decarbonization gap; grid 541 gCO2/kWh; evaluating (~7 mo to renewal); ESG pressure medium.",Medium
SYN-009245,India Wafer Fab 9245,Semiconductor,India,India,22475123.3,43.0,692.7,0.441,7.7,synthetic,76.19,A,Evaluating,66998342.56,Corporate PPA,"22,475,123 MWh/yr; 57% decarbonization gap; grid 693 gCO2/kWh; evaluating (~8 mo to renewal); ESG pressure medium.",Medium
SYN-004531,Southeast Asia Metalworks 4531,Steel,Southeast Asia,Indonesia,26397337.5,7.7,554.9,0.475,10.3,synthetic,76.1,A,Evaluating,59694939.02,Corporate PPA,"26,397,338 MWh/yr; 92% decarbonization gap; grid 555 gCO2/kWh; evaluating (~10 mo to renewal); ESG pressure medium.",Medium
SYN-007855,India Wafer Fab 7855,Semiconductor,India,India,24776586.2,17.5,725.7,0.443,28.7,synthetic,76.1,A,Early / Long Horizon,94708500.75,Corporate PPA,"24,776,586 MWh/yr; 82% decarbonization gap; grid 726 gCO2/kWh; early / long horizon (~29 mo to renewal); ESG pressure medium.",Medium
REAL-0016,ArcelorMittal,Steel,Europe,Luxembourg,40000000.0,8.0,250.0,0.9,9.0,public-estimate,76.08,A,Evaluating,90240000.0,Decarbonization Advisory,"40,000,000 MWh/yr; 92% decarbonization gap; grid 250 gCO2/kWh; evaluating (~9 mo to renewal); ESG pressure high.",High
SYN-006878,China Steel Works 6878,Steel,China,China,24885354.5,23.1,602.2,0.595,6.6,synthetic,76.08,A,Evaluating,49377520.4,Corporate PPA,"24,885,354 MWh/yr; 77% decarbonization gap; grid 602 gCO2/kWh; evaluating (~7 mo to renewal); ESG pressure medium.",Medium
